PID	Status	Label
48473	0	application.com.google.Chrome.app.fjclemhboeahjmbgniochghcopbfgibi.29005081.29005091
605	0	com.apple.knowledge-agent
-	0	com.apple.midiserver
-	0	com.apple.mobiledeviceupdater
631	0	com.apple.AccessibilityUIServer
54883	-9	com.apple.communicationtrustd
-	0	com.apple.helpd
-	-9	com.apple.icloudmailagent
-	0	com.apple.quicklook.ui.helper
-	0	com.apple.GameOverlayUI
809	0	com.apple.wifi.WiFiAgent
-	0	com.apple.screensharing.MessagesAgent
-	0	com.apple.diskspaced
-	0	com.google.GoogleUpdater.wake
14553	0	com.apple.passd
-	0	com.apple.DictationIM
67133	-9	com.apple.sociallayerd
-	0	com.apple.mdmclient.agent
-	0	com.apple.iCloudHelper
-	0	com.apple.CharacterPicker.FileService
18389	-9	com.apple.keychainsharingmessagingd
-	0	com.apple.MessageUIMacHelperService
-	0	com.apple.cvmsCompAgent3425AMD_x86_64
-	0	org.virtualbox.intnet
-	0	com.apple.gamecontroller.ConfigService
-	0	com.apple.security.XPCKeychainSandboxCheck
95491	-9	com.apple.podcasts.PodcastContentService
753	0	com.apple.CoreAuthentication.agent
628	0	com.apple.syncdefaultsd
-	0	com.apple.sidecar-display-agent
94269	-9	com.apple.chronod
700	0	com.apple.accessibility.heard
701	0	com.apple.corespeechd
19344	-9	com.apple.geoanalyticsd
-	0	com.apple.AMPSystemPlayerAgent
12379	-9	com.apple.itunescloudd
-	0	com.apple.scrod
22902	-9	com.apple.spindump_agent
-	-9	com.apple.frauddefensed
-	0	com.apple.AquaAppearanceHelper
18388	-9	com.apple.AuthenticationServicesCore.AuthenticationServicesAgent
-	0	com.apple.cvmsCompAgent_arm64
609	0	com.apple.milod
-	0	com.apple.bookdatastored
20424	-9	com.apple.security.keychain-circle-notification
-	0	com.apple.appstorecomponentsd
42486	-9	com.apple.icloud.findmydeviced.findmydevice-user-agent
-	0	com.apple.XProtect.agent.scan.startup
21274	-9	com.apple.amsengagementd
78073	-9	com.apple.betaenrollmentagent
-	0	com.apple.AirPortBaseStationAgent
95365	-9	com.apple.proactiveeventtrackerd
23160	-9	com.apple.proactived
24429	-9	com.apple.ModelCatalogAgent
604	0	com.apple.universalaccessd
620	0	com.apple.linkd
-	0	homebrew.mxcl.mysql
-	0	com.apple.accessibility.MotionTrackingAgent
-	0	com.apple.neagent
62143	-9	com.apple.SafariLaunchAgent
-	0	com.apple.idsfoundation.IDSRemoteURLConnectionAgent
-	0	com.apple.textcomposerd
67065	-9	com.apple.recentsd
1015	0	com.apple.spotlightknowledged.updater
-	0	com.apple.transparencyStaticKey
95371	-9	com.apple.sirittsd
95372	-9	com.apple.dprivacyd
717	0	com.apple.usernoted
78086	-9	com.apple.geodMachServiceBridge
-	0	com.apple.Safari.History
54879	-9	com.apple.translationd
-	0	com.apple.AddressBook.abd
-	0	com.apple.bluetoothaudiod
658	0	com.apple.calaccessd
-	0	com.apple.ScreenReaderUIServer
-	0	com.apple.newsd
-	0	com.apple.systemsettingsagent
23023	-9	com.apple.swcd
-	0	com.apple.symptomsd.distributed-agent
723	0	com.apple.AirPlayUIAgent
57494	-9	com.apple.backgroundassets.user
-	0	com.apple.cvmsCompAgent_arm64_1
99119	0	com.apple.shazamd
674	0	com.apple.corespotlightd
14541	-9	com.apple.naturallanguaged
-	0	com.apple.netauth.user.gui
-	0	com.apple.watchlistd
663	0	com.apple.xtyped
-	0	com.apple.TMHelperAgent
20556	255	com.apple.Spotlight
14549	-9	com.apple.appstoreagent
-	0	com.apple.AMPDevicesAgent
54985	-9	com.apple.accessibility.mediaaccessibilityd
-	0	com.apple.cvmsCompAgent3425AMD_x86_64_1
-	0	com.apple.mdworker.sizing
-	0	com.apple.SpeechRecognitionCore.brokerd
1014	0	com.apple.metadata.mdbulkimport
-	0	com.apple.iokit.IOServiceAuthorizeAgent
-	0	com.apple.cvmsCompAgent3600_arm64
34310	-9	com.apple.WorkflowKit.ShortcutsViewService
88678	-9	com.apple.carboncore.csnameddata
695	0	com.apple.contactsd
-	0	com.apple.cvmsCompAgent3600_x86_64
-	0	com.apple.speech.speechsynthesisd.arm64
-	0	com.apple.CoreRoutine.helperservice
587	0	com.apple.distnoted.xpc.agent
874	0	com.apple.SetStoreUpdateService
696	0	com.apple.geod
